Aesthetic,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_Luminance,Mean_Saturation,Contrast,Color1_R,Color1_G,Color1_B,Color1_Hue,Color2_R,Color2_G,Color2_B,Color2_Hue,Color3_R,Color3_G,Color3_B,Color3_Hue,Color4_R,Color4_G,Color4_B,Color4_Hue,Color5_R,Color5_G,Color5_B,Color5_Hue
Pastel,247.0,220.6,202.2,7.848566748139434,8.708616422830897,8.68101376568428,224.88416,0.18077907478898123,18.788600000000002,250,212,192,255,230,198,232,212,196,248,232,211,250,217,214,20.689655172413808,33.68421052631579,26.66666666666668,34.05405405405406,4.999999999999982
Pastel,254.0,222.8,220.0,1.5491933384829668,6.241794613730893,4.242640687119285,229.23096,0.13389475600761996,13.441999999999979,255,220,220,255,230,219,255,222,222,254,229,226,251,213,213,0.0,18.333333333333353,0.0,6.428571428571466,0.0
Pastel,244.6,234.6,221.6,10.85541339608953,11.038115781237304,8.935323161475472,235.7874,0.09376553655945137,29.003599999999977,255,235,231,231,231,209,250,243,221,255,248,232,232,216,215,9.999999999999964,60.0,45.51724137931033,41.7391304347826,3.52941176470587
Pastel,250.6,227.4,221.0,4.841487374764082,12.531560158256434,12.569805089976535,231.87023999999997,0.11758230737613509,27.968199999999968,255,247,235,252,229,229,255,216,201,249,212,212,242,233,228,36.000000000000014,0.0,16.666666666666668,0.0,21.428571428571384
Pastel,253.4,219.6,205.2,3.1999999999999997,18.67190402717409,21.19811312357777,225.7462,0.189527665317139,37.939599999999984,255,245,218,247,227,227,255,230,217,255,199,196,255,197,168,43.783783783783804,0.0,20.526315789473696,3.0508474576271105,20.000000000000007
Pastel,249.4,223.2,202.6,6.711184694225007,8.084553172563094,8.212186067059125,227.28279999999995,0.18731933688134297,12.387,255,228,193,255,212,204,252,229,216,248,215,205,237,232,195,33.870967741935495,9.411764705882353,21.666666666666675,13.953488372093016,52.85714285714284
Pastel,246.4,221.4,220.4,14.82700239428051,14.093970341958295,20.567936211491904,226.6428,0.16056547106647537,30.49200000000002,250,217,232,255,235,232,255,196,196,217,232,246,255,227,196,332.7272727272727,7.826086956521707,0.0,208.96551724137927,31.525423728813543
Pastel,228.2,226.0,219.2,19.47716611830376,7.014271166700073,5.2306787322488075,225.97676,0.09600723522054273,13.73599999999999,232,230,227,248,212,212,249,230,221,212,229,221,200,229,215,36.000000000000135,0.0,19.28571428571429,151.76470588235293,151.0344827586207
Pastel,238.0,218.0,208.0,21.090282122342508,10.079682534683322,6.06630035524124,221.53000000000003,0.14803831728724431,19.317200000000014,248,217,218,255,199,199,255,225,209,233,227,207,199,222,207,358.06451612903226,0.0,20.869565217391305,46.15384615384614,140.86956521739128
Pastel,230.8,223.6,222.6,21.54437281519237,5.043808085167396,13.001538370516007,225.05852,0.12079983979904156,15.07680000000002,255,218,217,237,227,212,250,229,227,199,227,211,213,217,246,1.5789473684210442,35.99999999999995,5.217391304347882,145.7142857142857,232.72727272727275
